Country,customer_count,customer_percent,Units,Spent,order_count
Australia,9,0.21,1.63,1.55,0.31
Austria,11,0.25,0.09,0.11,0.09
Bahrain,2,0.05,0.01,0.01,0.01
Belgium,25,0.58,0.45,0.46,0.53
Brazil,1,0.02,0.01,0.01,0.01
Canada,4,0.09,0.05,0.04,0.03
Channel Islands,9,0.21,0.18,0.23,0.14
Cyprus,8,0.18,0.12,0.15,0.09
Czech Republic,1,0.02,0.01,0.01,0.01
Denmark,9,0.21,0.16,0.21,0.1
European Community,1,0.02,0.01,0.01,0.02
Finland,12,0.28,0.21,0.25,0.22
France,87,2,2.15,2.35,2.1
Germany,94,2.16,2.3,2.57,2.47
Greece,4,0.09,0.03,0.05,0.03
Iceland,1,0.02,0.05,0.05,0.04
Ireland,3,0.07,2.71,2.98,1.4
Israel,3,0.07,0.08,0.08,0.03
Italy,14,0.32,0.16,0.2,0.21
Japan,8,0.18,0.5,0.42,0.1
Lebanon,1,0.02,0.01,0.02,0.01
Lithuania,1,0.02,0.01,0.02,0.02
Malta,2,0.05,0.02,0.03,0.03
Netherlands,9,0.21,3.88,3.2,0.51
Norway,10,0.23,0.37,0.41,0.19
Poland,6,0.14,0.07,0.08,0.1
Portugal,19,0.44,0.31,0.38,0.31
Republic of South Africa,1,0.02,0.01,0.01,0.01
Saudi Arabia,1,0.02,0,0,0.01
Singapore,1,0.02,0.1,0.24,0.04
Spain,30,0.69,0.54,0.69,0.49
Sweden,8,0.18,0.7,0.43,0.19
Switzerland,21,0.48,0.58,0.63,0.28
United Arab Emirates,2,0.05,0.02,0.02,0.02
United Kingdom,3921,90.28,82.42,82.04,89.86
United States,4,0.09,0.05,0.04,0.03
